tanggal,pengunjung
2025-01-01,97
2025-01-02,105
2025-01-03,106
2025-01-04,103
2025-01-05,108
2025-01-06,116
2025-01-07,106
2025-01-08,113
2025-01-09,120
2025-01-10,114
2025-01-11,116
2025-01-12,118
2025-01-13,123
2025-01-14,116
2025-01-15,117
2025-01-16,116
2025-01-17,123
2025-01-18,121
2025-01-19,117
2025-01-20,113
2025-01-21,112
2025-01-22,113
2025-01-23,104
2025-01-24,108
2025-01-25,99
2025-01-26,99
2025-01-27,102
2025-01-28,94
2025-01-29,97
2025-01-30,93
2025-01-31,95
2025-02-01,87
2025-02-02,89
2025-02-03,93
2025-02-04,98
2025-02-05,96
2025-02-06,97
2025-02-07,101
2025-02-08,97
2025-02-09,103
2025-02-10,102
2025-02-11,101
2025-02-12,107
2025-02-13,113
2025-02-14,114
2025-02-15,116
2025-02-16,125
2025-02-17,122
2025-02-18,125
2025-02-19,131
2025-02-20,122
2025-02-21,125
2025-02-22,134
2025-02-23,128
2025-02-24,131
2025-02-25,135
2025-02-26,134
2025-02-27,137
2025-02-28,136
2025-03-01,133
2025-03-02,127
2025-03-03,130
2025-03-04,128
2025-03-05,121
2025-03-06,128
2025-03-07,124
2025-03-08,120
2025-03-09,117
2025-03-10,113
2025-03-11,115
2025-03-12,114
2025-03-13,109
2025-03-14,114
2025-03-15,106
2025-03-16,102
2025-03-17,111
2025-03-18,107
2025-03-19,108
2025-03-20,106
2025-03-21,105
2025-03-22,114
2025-03-23,110
2025-03-24,118
2025-03-25,118
2025-03-26,116
2025-03-27,116
2025-03-28,119
2025-03-29,120
2025-03-30,133
2025-03-31,129
2025-04-01,135
2025-04-02,130
2025-04-03,136
2025-04-04,141
2025-04-05,139
2025-04-06,144
2025-04-07,139
2025-04-08,139
2025-04-09,145
2025-04-10,144
2025-04-11,147
2025-04-12,139
2025-04-13,146
2025-04-14,151
2025-04-15,142
2025-04-16,141
2025-04-17,140
2025-04-18,133
2025-04-19,138
2025-04-20,130
2025-04-21,132
2025-04-22,135
2025-04-23,127
2025-04-24,129
2025-04-25,129
2025-04-26,125
2025-04-27,119
2025-04-28,121
2025-04-29,128
2025-04-30,115
2025-05-01,120
2025-05-02,120
2025-05-03,122
2025-05-04,125
2025-05-05,128
2025-05-06,124
2025-05-07,129
2025-05-08,130
2025-05-09,132
2025-05-10,131
2025-05-11,132
2025-05-12,134
2025-05-13,137
2025-05-14,143
2025-05-15,147
2025-05-16,148
